127.0.0.1 - - [13/Jan/2018:21:47:08 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:12 +0800] "GET /bookstore/ HTTP/1.1" 200 8044
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:12 +0800] "GET /bookstore/static/css/index.css HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:12 +0800] "GET /bookstore/static/images/logo-big.png HTTP/1.1" 200 40206
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:12 +0800] "GET /bookstore/static/images/logo.png HTTP/1.1" 200 40501
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:12 +0800] "GET /bookstore/static/js/jquerySession.js HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:12 +0800] "GET /bookstore/static/js/jquery-1.12.4.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:12 +0800] "GET /bookstore/static/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:12 +0800] "GET /bookstore/static/js/jquery.cookie.js HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:12 +0800] "GET /bookstore/static/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:12 +0800] "GET /bookstore/... HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:12 +0800] "GET /bookstore/static/images/1.jpg HTTP/1.1" 200 206523
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:21 +0800] "GET /bookstore/ HTTP/1.1" 200 8044
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:21 +0800] "GET /bookstore/static/js/jquery-1.12.4.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:21 +0800] "GET /bookstore/static/images/logo.png HTTP/1.1" 200 40501
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:21 +0800] "GET /bookstore/static/css/index.css HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:21 +0800] "GET /bookstore/static/js/jquery.cookie.js HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:21 +0800] "GET /bookstore/static/js/jquerySession.js HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:21 +0800] "GET /bookstore/static/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:21 +0800] "GET /bookstore/static/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:21 +0800] "GET /bookstore/... HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:21 +0800] "GET /bookstore/static/images/logo-big.png HTTP/1.1" 200 40206
0:0:0:0:0:0:0:1 - - [13/Jan/2018:21:47:22 +0800] "GET /bookstore/static/images/1.jpg HTTP/1.1" 200 206523
